Standort,Plz,Ort,Straße,Aufstellungsort
Kaufland,67346,Speyer,Auestr. 22,Mall
Kaufland,67547,Worms,Mainzerstraße 150,Eingangsbereich rechts hinter dem Windfang
Kaufland,68169,Mannheim,Maybachstr. 28,Eingangsbereich
Kaufland,69221,Dossenheim,Gewerbestr. 19,Mall
Kaufland,70736,Fellbach,Merowinger Str. 5,neben Toto Lotto
Kaufland,71063,Sindelfingen,Calwer Str. 4,Wandeinbau separater Raum
Kaufland,71065,Sindelfingen,,
Kaufland,71522,Backnang,Sulzbacher Str. 201,hinter dem Windfang
Kaufland,71522,Backnang,Industriestraße 34,Wandeinbau Eingangsbereich
Kaufland,72250,Freudenstadt,Max-Eyth-Str. 14,Eingangsbereich
Kaufland,72379,Hechingen,Kaullastraße 1,
Kaufland,72488,Sigmaringen,Georg-Zimmerer-Str. 15,Mall
Kaufland,72622,Nürtingen,Europastr. 7,Windfang
Kaufland,73033,Göppingen,Stuttgarter Str. 2,
Kaufland,73066,Uhingen,Bleichereistraße 54,
Kaufland,73312,Geislingen an der Steige,Neuwiesenstraße 25,
Kaufland,73527,Schwäbisch-Gmünd,Hauptstraße 6,
Kaufland,74321,Bietigheim,Prinz-Eugen-Str. 10,Windfang
Kaufland,76532,Baden-Baden,Rheinstraße 134,Auf der Mall neben Lotto.
Kaufland,78713,Schramberg,Bahnhofstraße 30,Wandeinbau Mall
Kaufland,79106,Freiburg,Waldkircher Str. 57,Mall
Kaufland,82538,Geretsried,Bayerwaldstraße 2,Im Eingangsbereich.
Kaufland,83026,Rosenheim,Außere Münchener Straße 100,
Kaufland,83043,Bad Aibling,Grassinger Straße 16,links neben dem Drehkreuz
Kaufland,83278,Traunstein,Theresienstr. 2,auf der Mall
Kaufland,83395,Freilassing,Verdistraße 15,Rechts hinter dem Windfang. Mit der Rückseite an die Wand links neben der Tür.
Kaufland,84130,Dingolfing,Frontenhausener Str. 1,Mall
Kaufland,84307,Eggenfelden,Lindhofstraße 10,
Kaufland,84489,Burghausen,Lindach 10,
Kaufland,85221,Dachau,Danziger Str. 1,Eingangsbereich
Kaufland,85276,Pfaffenhofen a.d. Ilm,Joseph-Fraunhofer-Straße 31,Hinter dem Windfang rechts.
Kaufland,85276,Pfaffenhofen,Max-Weinberger-Straße 9,Im Windfang
Kaufland,85368,Moosburg,Degernpoint M1,
Kaufland,88348,Bad Saulgau,Am Schlehenrain 1,Eingangsbereich neben Bäcker
Kaufland,88400,Biberach an der Riss,Obere Stegwiesen 10,Auf der Mall
Kaufland,88471,Laupheim,Ulmer Straße 13,
Kaufland,89155,Erbach,Heinrich-Hammer-Str. 6,Wandeinbau separater Raum
Kaufland,89231,Neu-Ulm,Memminger Straße 54,Neben der Rolltreppe.
Kaufland,89407,Dillingen,Johannes-Scheiffele-Str. 3-7,gegenüber Rolltreppe - neben Aufzug zum Parkdeck
Kaufland,89518,Heidenheim,Wilhelmstraße 148,auf der Mall
Kaufland,90439,Nürnberg,Schwabacher Straße 99,Im Windfang
Kaufland,90443,Nürnberg,Dianaplatz 23- 25,Mall
Kaufland,90473,Nürnberg,Oppelner Str. 223,auf der Mall bei den Aufzügen
Kaufland,90522,Oberasbach,Rothenburger Straße 70,Im Eingangsbereich
Kaufland,91315,Höchstadt,Rothenburger Str. 19,auf der Mall - neben dem Kassenbereich
Kaufland,92318,Neumarkt,Altdorfer Straße 63,hinterm Windfang
Kaufland,92637,Weiden,Untere Bauscher Str. 25,Mall
Kaufland,93333,Neustadt a.d.Donau,Gewerpepark 48,Eingangsbereich
Kaufland,94036,Passau,Neuburger Str. 128,Eingangsbereich
Kaufland,94051,Hauzenberg,Florianstraße 1,Auf der Mall an der Rolltreppe.
Kaufland,94060,Pocking,Passauer Straße 160,auf der Mall
Kaufland,95032,Hof,Hans-Böckler-Straße 19,"Eingangsbreich, hinter dem Windfang"
Kaufland,95448,Bayreuth,Weiherstr. 27,Mall neben Takko
Kaufland,96515,Sonneberg,Bettelhecker Straße 155,
Kaufland,97688,Bad Kissingen,Steubenstr. 1,rechts im Windfang
Kaufland,99510,Apolda,Bernhard-Prager-Gasse 1 - 7,neben Lotto
Kaufland ,91257,Pegnitz,Nürnberger Straße 22,
KaufMarkt,12683,Berlin,Weißenhöher Str. 88 - 108,Mall ( im Kaufmarkt )
KaufMarkt,14624,Dallgow-Döberitz,Döberitzer Weg 3,Indoor neben Kaufmarkt
KaufPark Eiche,16356,Ahrensfelde,Landsberger Chaussee 17,Eingangsbereich Indoor
Königsbau Passagen,70173,Stuttgart,Königstraße 26,Eingangsbereich
Konzernforum Lindencorso,10117,Berlin,Unter den Linden 21,"Wandeinbau ""Tapetentür"""
Kurpfalz Center,68309,Mannheim,Spreewaldallee 44 - 50,Auf der Mall
Kurverwaltung,27632,Dorum,Am Kutterhafen 3,Outdoor neben Bushaltestelle
Landesmesse Stuttgart,70629,Stuttgart,"Flughafenrandstr., Eingang West - Halle 8",Halle 6
Landesmesse Stuttgart,70629,Stuttgart,Flughafenrandstr. 43,Eingang Ost - Atrium
Landesmesse Stuttgart,70629,Stuttgart,"Flughafenrandstr., Mittlerer Höhensprung",Mittlerer Höhensprung neben Eingang Halle 5
Linden Center,13051,Berlin,Prerower Platz 1,neben Nordsee
Löhr Center,56068,Koblenz,Hohenfelder Straße 22,2.OG
Markant,18435,Stralsund,Hans-Fallada-Straße 1,
Markant,23936,Grevesmühlen,Gebhartstraße 4,
Markant,24116,Kiel,Alte Weide 4,
Markant-Markt,23970,Wismar,Professor-Frege-Straße 45,Auf der Mall beim Tabakladen
Markant-Markt,24148,Kiel,Philipp-Reis-Weg 2,Eingang Durchgang zum Getränkemarkt
Markant-Markt,24217,Schönberg,Eichkamp 9,Hinter dem Windfang rechts.
Markant-Markt,24451,Quickborn,Feldbehnstr. 35,Neben dem Leergutautomaten.
Marktkauf,31515,Wunstorf,Hagenburger Straße 20,Im Eingangsbereich neben der Leergut-Annahme.
Marktplatzcenter,17033,Neubrandenburg,Krämerstraße 1,Foyer UG in einer Nische
Marriott Hotel,10785,Berlin,Inge-Beisheim-Platz 1,
Marriott Hotel,60486,Frankfurt am Main,Hamburger Allee 2 - 10,Indoor neben Business Center
Marstall-Center,71634,Ludwigsburg,Marstall 1,
Media Markt,01069,Dresden,Prager Straße 15,UG
Media Markt,03051,Cottbus,Am Seegraben 20 C,
Media Markt,07747,Jena,Stadtrodaer Str. 105,
Media Markt,08058,Zwickau,Franz-Mehring-Str. 169,
Media Markt,08393,Meerane,Guteborner Allee 1,
Media Markt,08527,Plauen,Dürerstr. 28,
Media Markt,12043,Berlin,Karl-Marx-Str. 66,
Media Markt,12529,Schönefeld,Am Rondell 3,Im Windfang
Media Markt,13357,Berlin,Pankstr. 32 - 39,
Media Markt,13507,Berlin,Am Borsigturm 2,Im Eingangsbereich
Media Markt,13597,Berlin,An den Freiheitswiesen 5,
Media Markt,17491,Greifswald,Anklamer Landstraße 1,
Media Markt,18055,Rostock,Timmermannstrat 11 a,
Media Markt,18437,Stralsund,Grünhufer Bogen 13 - 17,
Media Markt,19053,Schwerin,Marienplatz 5 - 7,
Media Markt,21339,Lüneburg,Lüner Rennbahn 4,
Media Markt,21614,Buxtehude,Lüneburger Schanze 17,
Media Markt,21682,Stade,Haddorfer Grenzweg 2a,
Media Markt,22047,Hamburg-Wandsbek,Friedrich-Ebert-Damm 110,
Media Markt,22339,Hamburg,Poppenbütteler Weg 31,an den Rolltreppen
Media Markt,22529,Hamburg,Nedderfeld 70,1.OG
Media Markt,22765,Hamburg,Paul-Nevermann-Platz 15,1. OG Bahnhof Altona
Media Markt,24558,Henstedt-Ulzburg,Kirchweg 88,
Media Markt,25469,Halstenbek,Gärtnerstr. 169,Windfang
Media Markt,25746,Heide,Schanzenstr. 11 / Gewerbegebiet Ost,
Media Markt,26129,Oldenburg,Posthalterweg 15,
Media Markt,26871,Papenburg,An der Alten Werft 13,
Media Markt,27755,Delmenhorst,Seestraße 7,
Media Markt,28237,Bremen,AG-Weser-Straße 3,EKZ Waterfront
Media Markt,28307,Bremen,Hans-Bredow-Str. 19,Weserpark
Media Markt,28816,Stuhr,Drei-K-Weg 25a,
Media Markt,30519,Hannover,Hildesheimer Str. 410,Eingangsbereich bei der Info
Media Markt,31135,Hildesheim,Bavenstedter Str. 65,Eingangsbereich
Media Markt,31582,Nienburg,Schlossplatz 5,Im Eingangsbereich
Media Markt,31789,Hameln,Böcklerstr. 5,
Media Markt,32457,Porta Westfalica,Feldstr. 32,
Media Markt,33330,Gütersloh,Vennstr. 40,
Media Markt,35037,Marburg,Erlenring 19,
Media Markt,37075,Göttingen,Hannoversche Str. 53 c,1.OG
Media Markt,38100,Braunschweig,Hintern Brüdern 27 - 30,
Media Markt,38820,Halberstadt,Quedlinburger Landstraße 12,Windfang
Media Markt,39128,Magdeburg,Am Pfahlberg 7,
Media Markt,40217,Düsseldorf,Friedrichstr. 129 - 133,Service Center
Media Markt,40235,Düsseldorf,Metrostr. 16,Eingangsbereich
Media Markt,41065,Mönchengladbach,Breitenbachstr. 50,
Media Markt,41464,Neuss,Konrad-Adenauer-Ring 95,Kassenbereich
Media Markt,42103,Wuppertal,Friedrich-Engels-Allee 34,
Media Markt,42551,Velbert,Friedrichstr. 303,
Media Markt,44579,Castrop-Rauxel,Siemensstr. 16,
Media Markt,44791,Bochum,Am Einkaufszentrum EKZ Ruhrpark,
Media Markt,44809,Bochum,Hofsteder Str. 194 - 196,
Media Markt,45475,Mülheim,"Mannesmannallee 31, EKZ Dümpten",
Media Markt,47169,Duisburg,August-Bebel-Platz 20,
Media Markt,47269,Duisburg,Keniastr. 37,
Media Markt,50858,Köln,Max-Planck-Str. 24,
Media Markt,51103,Köln,Vietorstr. 7,1.OG Köln Arcaden
Media Markt,52064,Aachen,Franzstr. 6,
Media Markt,52249,Eschweiler,Auerbachstr. 30,
Media Markt,55543,Bad Kreuznach,Wöllsteiner Str. 10,
Media Markt,55743,Idar-Oberstein,John-F.-Kennedy-Str. 1,
Media Markt,57076,Siegen,Hauptmarkt 1,
Media Markt,63329,Egelsbach,Kurt-Schumacher-Ring 3,
Media Markt,63584,Gründau,Rudolf-Walther-Str. 6,
Media Markt,63741,Aschaffenburg,Mainaschaffer Str. 115,Eingangsbereich
Media Markt,64331,Weiterstadt,Robert-Koch-Str. 18,
Media Markt,64646,Heppenheim,Tiergartenstr. 7,
Media Markt,65474,Bischofsheim,Neben dem Mühlweg 4 b,
Media Markt,66115,Saarbrücken,Dr.-Tietz-Str. 13,Im Eingangsbereich
Media Markt,66538,Neunkirchen,Kirkeler Str. 50,Windfang
Media Markt,67346,Speyer,Wormser Landstr. 94,
Media Markt,67433,Neustadt a.d. Weinstraße,Chemnitzer Str. 33,
Media Markt,68199,Mannheim,Flößwörthstraße 65,Eingangsbereich
Media Markt,68307,Mannheim,Frankenthaler Str. 129,
Media Markt,68519,Viernheim,Bürgermeister-Neff-Str. 17,
Media Markt,69115,Heidelberg,Hebelstr. 22,
Media Markt,70736,Fellbach ,Bühlstr. 140,
Media Markt,72458,Albstadt,Sonnenstr. 30,1. OG Albcenter
Media Markt,73054,Eislingen,Steinbeissstr. 2,
Media Markt,73431,Aalen,Carl-Zeiß-Str. 96,
Media Markt,73525,Schwäbisch-Gmünd,Mühlweg 5,an den Rolltreppen
Media Markt,73614,Schorndorf,Heinkelstr. 25,
Media Markt,73733,Esslingen am Neckar,Weilstr. 227,1.OG Neckar Center
Media Markt,74523,Schwäbisch Hall,Stuttgarter Str. 157,
Media Markt,74564,Crailsheim,Hofwiesenstr. 39,
Media Markt,76135,Karlsruhe,Unterweingartenfeld 4,Eingangsbereich
Media Markt,76829,Landau,Klaus-von-Klitzing-Str. 5,Im Eingangsbereich
Media Markt,77656,Offenburg,Heinrich-Hertz-Str. 6,Im Eingangsbereich
Media Markt,78073,Bad Dürrheim,Schwenninger Str. 38,
Media Markt,78467,Konstanz,Schneckenburgstr. 2,
Media Markt,80939,München,Maria-Probst-Str. 11,
Media Markt,83026,Rosenheim,Georg-Aicher-Straße 10,
Media Markt,83278,Traunstein,Haslacher Feld 1,
Media Markt,84030,Landshut,Gaußstr. 1,
Media Markt,86159,Augsburg,Eichleitnerstr. 34,
Media Markt,87700,Memmingen,Frauenhoferstr. 9,
Media Markt,88045,Friedrichshafen,Meisterhofener Str. 14,
Media Markt,89077,Ulm,Blaubeurer Str. 24,
Media Markt,90431,Nürnberg,Virnsberger Str. 2 - 4,
Media Markt,91056,Erlangen,Frauenauracher Str. 108,
Media Markt,91522,Ansbach,Rothenburger Straße 15,
Media Markt,92637,Weiden,Regensburger Str. 61,
Media Markt,94036,Passau,Regensburger Str. 37,
Media Markt,95028,Hof,Äußere Michaelisbrücke 2,
Media Markt,95445,Bayreuth,Spinnereistr. 4,
Media Markt,96103,Hallstadt,Laubanger 31,
Media Markt,96450,Coburg,Niorter Straße 20,Im Windfang rechte Seite.
Media Markt,97076,Würzburg,Am Handelshof 2,
Media Markt,97080,Würzburg,Alfred-Nobel-Str. 3,
Media Markt,98544,Zella-Mehlis,Industriestr. 4,Eingangsbereich
Messe Berlin,14055,Berlin,Messedamm 22,Halle 19 Indoor
Messe Berlin,14055,Berlin,Messedamm 22,Übergang 1.2-2.2 Indoor
Mönkhof Karree,23562,Lübeck,Alexander-Fleming-Str. 1,Mall neben Rolltreppe
Neue Hopfenpost,80335,München,Seidlstraße,Mall
Oberpollinger,80331,München,Neuhauser Straße 18,outdoor
OBI,83064,Raubling,Hochstraße 5,
OMV-Tankstelle,76646,Bruchsal,Kammerfortstr. 4,Shop rechts neben Tür Indoor
OMV-Tankstelle,80939,München,Freisinger Landstr. 9,Fenstereinbau Büro / GAA im Pächterbüro
OMV-Tankstelle,81247,München,Verdistr. 68,Shop rechts neben Tür
OMV-Tankstelle,86720,Nördlingen,Augsburger Str. 42,Shop Sparerker
OMV-Tankstelle,93049,Regensburg,Prüfeninger Str. 43,Shop rechts neben Tür
OMV-Tankstelle,93128,Regenstauf,Regensburger Str. 30,Fenstereinbau Büro / GAA im Pächterbüro
OMV-Tankstelle,94315,Straubing,Landshuter Str. 101,Shop rechts neben Tür
Ostsee Park,18069,Lambrechtshagen,Ostsee-Park-Str. 3,Mall seperater Raum Wandeinbau
Paunsdorf Center,04329,Leipzig,Paunsdorfer Allee 1,
Penny-Markt,01683,Nossen,Fabrikstraße 5,
Penny-Markt,08304,Schönheide,Eibenstocker Straße 28a,
PF-Tankstelle,47608,Geldern,Geldertor 6,Fenstereinbau Büro / GAA im Pächterbüro
Plauen Park,08525,Plauen,Alte Joessnitzer  Straße 30,Mall
PM Tankstelle,42103,Wuppertal,Bundesallee 76,Wandeinbau Shop
Promenaden Hauptbahnhof Leipzig,04109,Leipzig,Willy-Brandt-Platz 7,EG Ausgang Wintergartenstraße
Rasthof Wörth,84109,Wörth an der Isar,Luitpoldpark 2,Eingangsbereich
Rathaus Galerie,41539,Dormagen,Kölner Str. 96 - 100,Mall
Ring-Center II,10365,Berlin,Frankfurter Allee 113,Indoor Durchgang zu Kaufhof
Rödertalpark,01900,Großröhrsdorf,Pulsnitzer Str. 16,Im Mallbereich
Sachsen-Allee-Center,09130,Chemnitz,Thomas-Mann-Platz 1b,bei den Aufzügen im 1.OG in einer Nische
Saturn,86316,Friedberg,Hans-Seemüller-Straße 1,
Saturn Electro-Markt,01067,Dresden,Webergasse 1,1.OG
Saturn Electro-Markt,08056,Zwickau,Äußere Schneeberger Str. 95,
Saturn Electro-Markt,09111,Chemnitz,Neumarkt 2,
Saturn Electro-Markt,09247,Chemnitz,Ringstr. 3,
Saturn Electro-Markt,10789,Berlin,Tauentzienstraße 9,
Saturn Electro-Markt,12435,Berlin,Elsenstr. 111 - 114,
Saturn Electro-Markt,14169,Berlin,Clayallee 328,Im Eingangsbereich
Saturn Electro-Markt,18055,Rostock,Kröpeliner Str. 54,"1. OG, Kröpeliner Tor-Center"
Saturn Electro-Markt,28195,Bremen,Papenstr. 5,3. OG
Saturn Electro-Markt,28279,Bremen,Steinsetzer Str. 15,
Saturn Electro-Markt,30159,Hannover,Ernst-August-Platz 3,
Saturn Electro-Markt,32547,Bad Oeynhausen,Mindener Str. 22,
Saturn Electro-Markt,34117,Kassel,Königsplatz 61,"3. OG, City Point Kassel"
Saturn Electro-Markt,37073,Göttingen,Weender Str. 75,Im Eingangsbereich
Saturn Electro-Markt,38440,Wolfsburg,"Porschestr. 45, Lilen-Carré",
Saturn Electro-Markt,39104,Magdeburg,Ernst-Reuter-Allee 11,1. OG Allee-Center
Saturn Electro-Markt,40212,Düsseldorf,Königsallee 56 ,3.OG
Saturn Electro-Markt,40233,Düsseldorf,Werdener Str. 87,4.OG
Saturn Electro-Markt,42103,Wuppertal,Neumarkt 1,
Saturn Electro-Markt,44339,Dortmund,Evinger Str. 170,
Saturn Electro-Markt,44532,Lünen,Willy-Brand-Platz 6,
Saturn Electro-Markt,44787,Bochum,Kortumstr. 72-74,
Saturn Electro-Markt,45127,Essen,Limbecker Platz 1a,Obergeschoss
Saturn Electro-Markt,45472,Mülheim,"Humboldtring 13, Rhein-Ruhr-Centrum",
Saturn Electro-Markt,45525,Hattingen,Reschop-Carré-Platz 1,UG Reschop-Carre
Saturn Electro-Markt,45894,Gelsenkirchen,Marienstraße 14,
Saturn Electro-Markt,46047,Oberhausen,Centroallee 4,
Saturn Electro-Markt,46483,Wesel,Kreuzstr. 13,Mall
Saturn Electro-Markt,47441,Moers,Homberger Str. 20 - 22,
Saturn Electro-Markt,47533,Kleve,Stechbahn 19 - 23,
Saturn Electro-Markt,47798,Krefeld,Neusser Str. 35,
Saturn Electro-Markt,49074,Osnabrück,Kamp 50,
Saturn Electro-Markt,50354,Hürth,Theresienhöhe 56,UG EKZ Hürth Park
Saturn Electro-Markt,50667,Köln,Hohe Str. 41 - 53,4.OG beim Servicebereich
Saturn Electro-Markt,51143,Köln,Josefstr. 12,1.OG CityCenter
Saturn Electro-Markt,53879,Euskirchen,Veybachstr. 3,1.OG Veybach-Center
Saturn Electro-Markt,54290,Trier,Simeonstr. 53,3.OG
Saturn Electro-Markt,55116,Mainz,Am Brand 41,
Saturn Electro-Markt,56070,Koblenz,An der Römervilla 3,3. OG
Saturn Electro-Markt,57072,Siegen,Am Bahnhof 40,UG City Center
Saturn Electro-Markt,60313,Frankfurt am Main,Zeil 106-110,
Saturn Electro-Markt,61348,Bad Homburg,Louisenstraße 90,
Saturn Electro-Markt,63263,Neu-Isenburg,Hermesstr. 4,
Saturn Electro-Markt,63450,Hanau,Kurt-Blaum-Platz 8,2. OG
Saturn Electro-Markt,65183,Wiesbaden,Louisenforum Kirchgasse 6,
Saturn Electro-Markt,65189,Wiesbaden,Bahnhofsplatz 3,
Saturn Electro-Markt,66111,Saarbrücken,Trierer Straße 1 / Europa Galerie Saarbrücken,Europa Galerie
Saturn Electro-Markt,67059,Ludwigshafen,Rathausplatz 20,
Saturn Electro-Markt,67663,Kaiserslautern,Merkurstr. 62 - 64,
Saturn Electro-Markt,68161,Mannheim,N7,
Saturn Electro-Markt,69115,Heidelberg,Sofienstraße 5,Darmstädter Hof
Saturn Electro-Markt,71229,Leonberg,Leonberger Str. 98 - 108,
Saturn Electro-Markt,72070,Tübingen,Schleifmühleweg 36,1.OG
Saturn Electro-Markt,72770,Reutlingen,Ferdinand-Lasalle-Str. 7,
Saturn Electro-Markt,74172,Neckarsulm,Rötelstr. 33,
Saturn Electro-Markt,75179,Pforzheim,Karlsruher Str. 51 - 57,Eingangsbereich
Saturn Electro-Markt,76133,Karlsruhe,Kaiserstr. 146 - 148,1.OG
Saturn Electro-Markt,79098,Freiburg,Schiffstr. 5 - 9,1.OG
Saturn Electro-Markt,80993,München,Hanauer Str. 77,
Saturn Electro-Markt,81737,München,Ollenhauerstr. 6,1.OG
Saturn Electro-Markt,85057,Ingolstadt,Am Westpark 7,
Saturn Electro-Markt,85356,Freising,Isarstr. 1,
Saturn Electro-Markt,90403,Nürnberg,Vordere Ledergasse 30,im Eingangsbereich
Saturn Electro-Markt,90762,Fürth,Würzburger Str. 6,
Saturn Electro-Markt,91052,Erlangen,Nürnberger Str. 7,Erlangen Arcaden
Saturn Electro-Markt,99084,Erfurt,Anger 1 - 3,"4. OG, EKZ Am Anger"
Saturn Electro-Markt,99423,Weimar,Friedensstr. 1,
Schön Klinik,22081,Hamburg,Dehnhaide 120,"Im Foyer der Klinik, Haus 7, Empfangsbereich."
Schwarzwaldcenter,72250,Freudenstadt,Ludwig-Jahn-Straße 3,
Spandau Arkaden,13581,Berlin,Klosterstraße 3,
Stadtgalerie,58452,Witten,Hammerstraße 9 - 11,auf der Mall
Stadtgalerie Heilbronn,74072,Heilbronn,Deutschhofstr. 19,1.OG
Star Tankstelle,12683,Berlin,Altentreptower Str. 2,Shop Sparerker
Star-Tankstelle,01239,Dresden,Dohnaer Str. 184,Shop rechts neben Tür
Star-Tankstelle,01773,Altenberg,Dresdner Str. 15,Shop rechts neben Tür
Star-Tankstelle,01809,Heidenau,Hauptstr. 7,Shop rechts neben Tür
Star-Tankstelle,04159,Leipzig,Georg-Schumann-Str. 392,Shop rechts neben Tür
Star-Tankstelle,04626,Schmölln,Ronneburger Str. 116,Shop rechts neben Tür
Star-Tankstelle,06130,Halle (Saale),Dieselstr. 59,Shop rechts neben Tür
Star-Tankstelle,06132,Halle (Saale),Merseburger Str. 322,Shop rechts neben Tür
Star-Tankstelle,07318,Saalfeld,Christian-Wagner-Straße 10,Shop rechts neben Tür
Star-Tankstelle,09123,Chemnitz,Wolgograder Allee 2a,Shop rechts neben Tür
Star-Tankstelle,10315,Berlin,Rhinstr. 47,Shop rechts neben Tür
Star-Tankstelle,10365,Berlin,Siegfriedstr. 170,Shop rechts neben Tür
Star-Tankstelle,12207,Berlin,Königsberger Str. 25 A,Fenstereinbau Büro / GAA im Pächterbüro
Star-Tankstelle,16321,Bernau,Schwanebecker Chaussee 9a,Fenstereinbau Büro
Star-Tankstelle,16515,Oranienburg,Berliner Str. 73,Shop rechts neben Tür
Star-Tankstelle,16775,Löwenberger Land,Berliner Str. 5,Shop rechts neben Tür
Star-Tankstelle,22525,Hamburg,Kieler Str. 206,"Fenstereinbau Büro / GAA im Pächterbüro, nur von 9:00-14:00 zugänglich"
Star-Tankstelle,28329,Bremen,In der Vahr 72,Shop rechts neben Tür
Star-Tankstelle,30179,Hannover,Sahlkamp 7,Wandeinbau Lager
Star-Tankstelle,39122,Magdeburg,Alt Salbke 60 - 63,Shop rechts neben Tür
Star-Tankstelle,45276,Essen,Bochumer Landstr. 184,Fenstereinbau Büro / GAA im Pächterbüro
Star-Tankstelle,48165,Münster,Westfalenstr. 186,Shop rechts neben Tür
Star-Tankstelle,50389,Wesseling,Hubertusstr. 3,Shop rechts neben Tür
Star-Tankstelle,79098,Schleiz,Plauensche Str. 1,Shop rechts neben Tür
Star-Tankstelle,99310,Arnstadt,Ichtershäuser Str. 67,Shop rechts neben Tür
Star-Tankstelle,99610,Sömmerda,Frohndorfer Str. 78,Fenstereinbau Büro / GAA im Pächterbüro
Stern-Center Potsdam,14480,Potsdam,Nuthestr.,Mall rechts neben Eingang real
Südring Center,15834,Rangsdorf,Klein-Kienitzer Str. 2,Mall seperater Raum
Sun Oil,13089,Berlin,Prenzlauer Promenade 70,Shop rechts neben Tür
Sun Oil,13509,Berlin,Waidmannsluster Damm 54,Shop Sparerker
T.E.C.,99099,Erfurt,Hermsdorfer Str. 4,Mall Wandnische
Tamoil-Tankstelle,12555,Berlin,Kaulsdorfer Str. 124 - 126,Fenstereinbau Büro / GAA im Pächterbüro
Team Tankstelle,23966,Wismar,Querstraße 1,Shop
TLG KulturBrauerei,10435,Berlin,Schönhauser Allee 36 / Haus 1,Gebäude 2.1 gegenüber vom Kinoeingang
Total-Tankstelle,06794,Sandersdorf,BAB Ost / A9,Lagerraum Wanddurchbruch
TÜV Rheinland,51105,Köln,Am Grauen Stein,Indoor vor der Kantine
UFA-Palast,70191,Stuttgart,Rosensteinstr. 20,Mall
Vechte Arkaden,48529,Nordhorn,Hagenstraße 10,
Wegedorn-Zentrum,12524,Berlin,Semmelweißstraße 105,Outdoor Eingangsbereich
